r,period,entropy_rate,spectral_gap,freq_A,freq_B,freq_D
3.4,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.4,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.404026845637584,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.404026845637584,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.404026845637584,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.404026845637584,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.404026845637584,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.404026845637584,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.404026845637584,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.404026845637584,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.404026845637584,2.0,7.974076978222647e-11,1.0103029524088925e-14,0.0,0.5,0.5
3.404026845637584,2.0,7.974076978222646e-11,1.0103029524088925e-14,0.0,0.5,0.5
